id,path,label,pred
870.jpg,./data/dalle2/dalle2_dataset/variation_before_oiriginal_image10/870.jpg,0,1
868.jpg,./data/dalle2/dalle2_dataset/variation_before_oiriginal_image10/868.jpg,0,1
871.jpg,./data/dalle2/dalle2_dataset/variation_before_oiriginal_image10/871.jpg,0,1
872.jpg,./data/dalle2/dalle2_dataset/variation_before_oiriginal_image10/872.jpg,0,1
873.jpg,./data/dalle2/dalle2_dataset/variation_before_oiriginal_image10/873.jpg,0,1
865.jpg,./data/dalle2/dalle2_dataset/variation_before_oiriginal_image10/865.jpg,0,1
867.jpg,./data/dalle2/dalle2_dataset/variation_before_oiriginal_image10/867.jpg,0,1
866.jpg,./data/dalle2/dalle2_dataset/variation_before_oiriginal_image10/866.jpg,0,1
864.jpg,./data/dalle2/dalle2_dataset/variation_before_oiriginal_image10/864.jpg,0,1
863.jpg,./data/dalle2/dalle2_dataset/variation_before_oiriginal_image10/863.jpg,0,1
869.jpg,./data/dalle2/dalle2_dataset/variation_before_oiriginal_image10/869.jpg,0,1
inpainting_back_image2.jpg,./data/dalle2/dalle2_dataset/edit_before_original_image1/inpainting_back_image2.jpg,0,1
edit_before_original_image1.jpg,./data/dalle2/dalle2_dataset/edit_before_original_image1/edit_before_original_image1.jpg,0,1
inpainting_center_image3.jpg,./data/dalle2/dalle2_dataset/edit_before_original_image1/inpainting_center_image3.jpg,0,1
inpainting_back_image3.jpg,./data/dalle2/dalle2_dataset/edit_before_original_image1/inpainting_back_image3.jpg,0,1
inpainting_center_image4.jpg,./data/dalle2/dalle2_dataset/edit_before_original_image1/inpainting_center_image4.jpg,0,1
inpainting_left_image4.jpg,./data/dalle2/dalle2_dataset/edit_before_original_image1/inpainting_left_image4.jpg,0,1
inpainting_center_image5.jpg,./data/dalle2/dalle2_dataset/edit_before_original_image1/inpainting_center_image5.jpg,0,1
inpainting_left_image2.jpg,./data/dalle2/dalle2_dataset/edit_before_original_image1/inpainting_left_image2.jpg,0,1
inpainting_left_image1.jpg,./data/dalle2/dalle2_dataset/edit_before_original_image1/inpainting_left_image1.jpg,0,1
inpainting_left_image3.jpg,./data/dalle2/dalle2_dataset/edit_before_original_image1/inpainting_left_image3.jpg,0,1
inpainting_center_image1.jpg,./data/dalle2/dalle2_dataset/edit_before_original_image1/inpainting_center_image1.jpg,0,1
inpainting_back_image4.jpg,./data/dalle2/dalle2_dataset/edit_before_original_image1/inpainting_back_image4.jpg,0,1
inpainting_center_image2.jpg,./data/dalle2/dalle2_dataset/edit_before_original_image1/inpainting_center_image2.jpg,0,1
inpainting_back_image1.jpg,./data/dalle2/dalle2_dataset/edit_before_original_image1/inpainting_back_image1.jpg,0,1
inpainting_left_image5.jpg,./data/dalle2/dalle2_dataset/edit_before_original_image1/inpainting_left_image5.jpg,0,1
846.jpg,./data/dalle2/dalle2_dataset/variation_before_oiriginal_image8/846.jpg,0,1
844.jpg,./data/dalle2/dalle2_dataset/variation_before_oiriginal_image8/844.jpg,0,1
845.jpg,./data/dalle2/dalle2_dataset/variation_before_oiriginal_image8/845.jpg,0,1
847.jpg,./data/dalle2/dalle2_dataset/variation_before_oiriginal_image8/847.jpg,0,1
843.jpg,./data/dalle2/dalle2_dataset/variation_before_oiriginal_image8/843.jpg,0,1
849.jpg,./data/dalle2/dalle2_dataset/variation_before_oiriginal_image8/849.jpg,0,1
842.jpg,./data/dalle2/dalle2_dataset/variation_before_oiriginal_image8/842.jpg,0,1
841.jpg,./data/dalle2/dalle2_dataset/variation_before_oiriginal_image8/841.jpg,0,1
848.jpg,./data/dalle2/dalle2_dataset/variation_before_oiriginal_image8/848.jpg,0,1
